,Sigla Empresa,Nombre,Año,Número de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tráfico (N/I),Pasajeros
522,1ED,SARPA S.A.S,2023,1,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,144.0
523,1ED,SARPA S.A.S,2023,1,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,106.0
525,1ED,SARPA S.A.S,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,I,194.0
542,1ED,SARPA S.A.S,2023,1,CUR,HATO,CURACAO,ANTILLAS HOLANDESAS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,42.0
552,1ED,SARPA S.A.S,2023,1,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,AUA,REINA BEATRIX INTL,ARUBA,ANTILLAS HOLANDESAS,I,155.0
554,1ED,SARPA S.A.S,2023,1,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,CUR,HATO,CURACAO,ANTILLAS HOLANDESAS,I,96.0
1134,6AF,ALIANSA,2023,1,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,24.0
1135,6AF,ALIANSA,2023,1,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,15.0
1136,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,9DI,SAN FELIPE,SAN FELIPE,COLOMBIA,N,26.0
1137,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,BMG,BARRANCO MINAS,GUAINIA (BARRANCO MINAS),COLOMBIA,N,15.0
1138,6AF,ALIANSA,2023,1,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,6.0
1139,6AF,ALIANSA,2023,1,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,47.0
1140,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,LET,LETICIA-ALFREDO VASQUEZ COBO,LETICIA,COLOMBIA,N,62.0
1141,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,22.0
1142,6AF,ALIANSA,2023,1,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,9.0
1143,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,9.0
1144,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,TAR,TARAIRA,TARAIRA,COLOMBIA,N,12.0
1145,6AF,ALIANSA,2023,1,MVP,MITU,MITU,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,13.0
1146,6AF,ALIANSA,2023,1,TAR,TARAIRA,TARAIRA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,10.0
1147,6AF,ALIANSA,2023,1,TAR,TARAIRA,TARAIRA,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,3.0
1148,6AF,ALIANSA,2023,1,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,33.0
1149,6AF,ALIANSA,2023,1,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,MVP,MITU,MITU,COLOMBIA,N,25.0
1150,AAL,AMERICAN,2023,1,ADZ,SAN ANDRES-GUSTAVO ROJAS PINILLA,SAN ANDRES - ISLA,COLOMBIA,MIA,MIAMI INTL,MIAMI,ESTADOS UNIDOS,I,556.0
1151,AAL,AMERICAN,2023,1,AEX,ALEXANDRIA INTERNATIONAL AIRPORT,ALEXANDRIA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,2.0
1152,AAL,AMERICAN,2023,1,ALB,ALBANY COUNTRY,NEW YORK,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,1.0
1153,AAL,AMERICAN,2023,1,ANU,"ANTIGUA  LEEWARDS V.C.BIRD,",ST. JOHN'S,ANTIGUA AND BARBUDA,CTG,CARTAGENA - RAFAEL NUQEZ,CARTAGENA,COLOMBIA,I,1.0
1154,AAL,AMERICAN,2023,1,ARN,ARLAND,ESTOCOLMO,SUECIA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,I,2.0
1155,AAL,AMERICAN,2023,1,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,68.0
1156,AAL,AMERICAN,2023,1,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,365.0
1157,AAL,AMERICAN,2023,1,AUS,AUSTIN/ROBERT/MUELLER MUNICIPA,TEXAS,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,81.0
1158,AAL,AMERICAN,2023,1,AUS,AUSTIN/ROBERT/MUELLER MUNICIPA,TEXAS,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,230.0
1159,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,CVG,COVINGTON - CINCINNATI,CINCINATTI,ESTADOS UNIDOS,I,8.0
1160,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,DOH,DOHA,QATAR,QATAR,I,2.0
1161,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,LHR,HEATHROW,LONDRES,INGLATERRA,I,4.0
1162,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,MAD,BARAJAS,MADRID,ESPANA,I,16.0
1163,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,MIA,MIAMI INTL,MIAMI,ESTADOS UNIDOS,I,4.29
1164,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,NAS,NASSAU INTL,NASSAU,BAHAMAS,I,1.0
1165,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PUERTO RICO,I,6.0
1166,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,YUL,MONTRÉAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,I,55.0
1167,AAL,AMERICAN,2023,1,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,YYZ,LESTER B PEARSON INTL,TORONTO,CANADA,I,52.0
1168,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,42.0
1169,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,I,6.0
1170,AAL,AMERICAN,2023,1,BCN,BARCELONA,BARCELONA,ESPANA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,5.0
1171,AAL,AMERICAN,2023,1,BDL,BRADLEY INTL,CONNECTICUT,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,1.0
1172,AAL,AMERICAN,2023,1,BDL,BRADLEY INTL,CONNECTICUT,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,35.0
1173,AAL,AMERICAN,2023,1,BGI,GRANTLEY ADAMS INTL,BRIDGENTOWN,BARBADOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,5.0
1174,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,2.0
1175,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,3.0
1176,AAL,AMERICAN,2023,1,BHM,BIRMINGHAM INTL,ALABAMA,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,23.0
1177,AAL,AMERICAN,2023,1,BMI,NORMAL,ILLINOIS,ESTADOS UNIDOS,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,I,3.0
1178,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ABQ,ALBUQUERQUE INTL SUNPORT,NUEVO MEXICO,ESTADOS UNIDOS,I,10.0
1179,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ACA,GENERAL JUAN N ALVAREZ INTL,ACAPULCO,MEXICO,I,1.0
1180,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,AMS,SCHIPHOL,AMSTERDAM,HOLANDA,I,17.0
1181,AAL,AMERICAN,2023,1,BOG,BOGOTA - ELDORADO,BOGOTA,COLOMBIA,ATL,HARTSFIELD JACKSON ATLANTA INTL,ATLANTA,ESTADOS UNIDOS,I,85.0
